เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
3-105-119/48,1.01002E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,48,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,51,,แสนสบาย,,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,20,130,13.2
3-105-79/65,1.01002E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"โฉนดที่ดินเลขที่ 103186,103187,103188,103193,103194",,,วัดสุขใจ,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,20,1188,35
3-105-84/60,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,19,,ประชาร่วมใจ 59,ประชาร่วมใจ,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,40,5368,137.7
3-105-7/68,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,,,,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,20,1778,66
3-106-53/67,1.01002E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,67,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (SRF) ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย,"โฉนดที่ดินเลขที่ 103186,103189,103190,103191,103192",,,วัดสุขใจ,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,20,360,35
3-105-48/59,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,ธวัช รีไซเคิล,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,743/7,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,10,228.5,12.9
3-105-46/66,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,66,นายธนากฤต ยิ่งรัตนเดช,นายธนากฤต ยิ่งรัตนเดช,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20/224,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,4,460,1.5
3-105-22/59,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,59,บริษัท กวงเซ่งหลี จำกัด,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/71-72,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,14,585,5
3-105-8/62,1.01E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,62,,นายสิทธิชัย เอื้อโภศิณธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,114/3,11,,,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,50,264,20
3-105-57/61,1.01001E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,61,บริษัท ตั้งซุ่ยเฮง จำกัด,บริษัท ตั้งซุ่ยเฮง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/164,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,29,745,185
